id,code,text,if_code,Non-FQN,FQN,label
1,"Date curr_date = new Date(System.currentTimeMillis());
Date curr_date = new Date(System.currentTimeMillis(""MAD_TIMEZONE""));
DateTimeZone zone = DateTimeZone.forID(""Europe/Madrid"");
DateTime dt = new DateTime(zone);
int day = dt.getDayOfMonth();
int year = dt.getYear();
int month = dt.getMonthOfYear();
int hours = dt.getHourOfDay();
int minutes = dt.getMinuteOfHour();
Date
Date
Date
Date
Calendar
TimeZone.getDefault()
TimeZone.getTimeZone(""Europe/Madrid"")
DateTime
java.time.ZonedDateTime
DateTime","How to get the current date and time of your timezone in Java? I have my app hosted in a London Server. I am in Madrid, Spain. So the timezone is -2 hours. How can I obtain the current date / time with my time zone. e.g. With Joda-Time is always UTC-based... or time-zone neutral, depending on how you want to view it. A only represents a point in time; it is independent of time zone, just a number of milliseconds since the Unix epoch. There's no notion of a ""local instance of ."" Use in conjunction with and/or to use a ""local"" time zone. Use to get the Madrid time zone. ... or use Joda Time, which tends to make the whole thing clearer, IMO. In Joda Time you'd use a value, which is an instant in time in a particular calendar system and time zone. In Java 8 you'd use , which is the Java 8 equivalent of Joda Time's .",1,DateTime,DateTime,1
2,"Date curr_date = new Date(System.currentTimeMillis());
Date curr_date = new Date(System.currentTimeMillis(""MAD_TIMEZONE""));
DateTimeZone zone = DateTimeZone.forID(""Europe/Madrid"");
DateTime dt = new DateTime(zone);
int day = dt.getDayOfMonth();
int year = dt.getYear();
int month = dt.getMonthOfYear();
int hours = dt.getHourOfDay();
int minutes = dt.getMinuteOfHour();
Date
Date
Date
Date
Calendar
TimeZone.getDefault()
TimeZone.getTimeZone(""Europe/Madrid"")
DateTime
java.time.ZonedDateTime
DateTime","How to get the current date and time of your timezone in Java? I have my app hosted in a London Server. I am in Madrid, Spain. So the timezone is -2 hours. How can I obtain the current date / time with my time zone. e.g. With Joda-Time is always UTC-based... or time-zone neutral, depending on how you want to view it. A only represents a point in time; it is independent of time zone, just a number of milliseconds since the Unix epoch. There's no notion of a ""local instance of ."" Use in conjunction with and/or to use a ""local"" time zone. Use to get the Madrid time zone. ... or use Joda Time, which tends to make the whole thing clearer, IMO. In Joda Time you'd use a value, which is an instant in time in a particular calendar system and time zone. In Java 8 you'd use , which is the Java 8 equivalent of Joda Time's .",1,Instant,Instant,1
3,"if (Math.abs(new Duration(start, end).getStandardSeconds()) < 4 * 3600) {
// blah blah blah
}","How can i tell if one joda-time DateTime object is within 4 hours of another? What's the best way to tell if one joda time DateTime object is within 4 hours of another if I don't know which object is earlier than the other? The Joda Time Duration object seems to do this job well if I know that object A comes before object B, but since Duration is signed it doesn't seem to do what I want if I don't know the order. Seems like there would be an easy way to do this, but I haven't found it yet. Try the following:",1,Duration,Duration,0
4,"DateTime dt = new DateTime().withYear(2009).plusDays(111);
dt.toGregorianCalendar().getFirstDayOfWeek();","Joda Time: First day of week? How do you get the first day of week given a Locale using Joda-Time? Point: Most countries use the international standard Monday as first day of week (!). A bunch others use Sunday (notably USA). Others apparently Saturday. Some apparently Wednesday?! Wikipedia ""Seven-day week""#Week_number So your question is, how to get the DayOfWeek from a Joda DateTime object? What about this:",1,DateTime,DateTime,0
5,"method(java.util.Date date)
// first midnight in this month
DateMidnight first = new DateMidnight().withDayOfMonth(1);
// last midnight in this month
DateMidnight last = first.plusMonths(1).minusDays(1);
// first midnight in java.util.Date's month
DateMidnight first = new DateMidnight( date ).withDayOfMonth(1);","In Joda-Time, set DateTime to start of month My API allows library client to pass Date: Working with Joda-Time, from this date I would like to extract the month and iterate over all days this month contains. Now, the passed date is usually new Date() - meaning current instant. My problem actually is setting the new DateMidnight(jdkDate) instance to be at the start of the month. Could someone please demonstrates this use case with Joda-Time? Midnight at the start of the first day of the current month is given by: If starting from a java.util.Date, a different DateMidnight constructor is used: Joda Time java doc - http://joda-time.sourceforge.net/api-release/index.html",1,DateMidnight,DateMidnight,1
6,"dtDateTimes
dtConstants
DateTimeConstants.SATURDAY
/**
* Returns a tick for each of
* the dates as represented by the <code>dtConstants
dtDateTimes
dtConstants
dtDateTimes","Calculating end date while skipping holidays + Joda time I would like to calculate end date (and time) of an event. I know starting date and duration (in minutes). But: I have to skip holidays - non-recurrent situation I have to skip weekends - recurrent situation I have to not count working time (e.g: from 8:00am till 5:00pm) - recurrent situation, but with finer granularity Is there a simple way to achieve these cases using Joda time library? Here's some code I use. can contain your pre-defined holiday dates (e.g. UK Bank Holidays) and can contain recurring things you'd like to match against, like . or the list of * occurring in the period as represented by begin -> end. * * @param begin * @param end * @param dtConstants * @param dtDateTimes * @return */ public int numberOfOccurrencesInPeriod(final DateTime begin, final DateTime end, List dtConstants, List dtDateTimes) { int counter = 0; for (DateTime current = begin; current.isBefore(end); current = current.plusDays(1)) { for (Integer constant : dtConstants) { if (current.dayOfWeek().get() == constant.intValue()) { counter++; } } for (DateTime dt : dtDateTimes) { if (current.getDayOfWeek() == (dt.getDayOfWeek())) { counter++; } } } return counter; } /** * Returns true if the period as represented by begin -> end contains any one of * the dates as represented by the or the list of * * @param begin * @param end * @param dtConstants * @param dtDateTimes */ public boolean isInPeriod(final DateTime begin, final DateTime end, List dtConstants, List dtDateTimes) { return numberOfOccurrencesInPeriod(begin, end, dtConstants, dtDateTimes) > 0; }",1,Period,Period,0
7,"dtDateTimes
dtConstants
DateTimeConstants.SATURDAY
/**
* Returns a tick for each of
* the dates as represented by the <code>dtConstants
dtDateTimes
dtConstants
dtDateTimes","Calculating end date while skipping holidays + Joda time I would like to calculate end date (and time) of an event. I know starting date and duration (in minutes). But: I have to skip holidays - non-recurrent situation I have to skip weekends - recurrent situation I have to not count working time (e.g: from 8:00am till 5:00pm) - recurrent situation, but with finer granularity Is there a simple way to achieve these cases using Joda time library? Here's some code I use. can contain your pre-defined holiday dates (e.g. UK Bank Holidays) and can contain recurring things you'd like to match against, like . or the list of * occurring in the period as represented by begin -> end. * * @param begin * @param end * @param dtConstants * @param dtDateTimes * @return */ public int numberOfOccurrencesInPeriod(final DateTime begin, final DateTime end, List dtConstants, List dtDateTimes) { int counter = 0; for (DateTime current = begin; current.isBefore(end); current = current.plusDays(1)) { for (Integer constant : dtConstants) { if (current.dayOfWeek().get() == constant.intValue()) { counter++; } } for (DateTime dt : dtDateTimes) { if (current.getDayOfWeek() == (dt.getDayOfWeek())) { counter++; } } } return counter; } /** * Returns true if the period as represented by begin -> end contains any one of * the dates as represented by the or the list of * * @param begin * @param end * @param dtConstants * @param dtDateTimes */ public boolean isInPeriod(final DateTime begin, final DateTime end, List dtConstants, List dtDateTimes) { return numberOfOccurrencesInPeriod(begin, end, dtConstants, dtDateTimes) > 0; }",1,DateTimeConstants,DateTimeConstants,0
8,"void printDuration(Duration d) {
System.out.println(
d.toPeriod(PeriodType.time()).toString(
new PeriodFormatterBuilder().printZeroAlways().appendSeconds().toFormatter()
)
);
}
printDuration(new Duration(5000)); // Prints ""5"" => OK
printDuration(new Duration(4900)); // Prints ""4"" => need ""5""
printDuration(new Duration(1000)); // Prints ""1"" => OK
printDuration(new Duration(900)); // Prints ""0"" => need ""1""
printDuration(new Duration(0)); // Prints ""0"" => OK
import java.math.BigDecimal;
private Duration round(Duration d) {
return Duration.standardSeconds(new BigDecimal(d.getMillis()).divide(1000, 0, BigDecimal.ROUND_up));
}
void printDuration(Duration d) {
System.out.println(
round(d).toPeriod(PeriodType.time()).toString(
new PeriodFormatterBuilder().printZeroAlways().appendSeconds().toFormatter()
)
);
}","Rounding up milliseconds when printing with Joda Time I'm implementing a count-down using Joda Time. I only need a display accuracy of seconds. However when printing the time, the seconds are displayed as full seconds, so when the count down reaches, for example, 900ms, then ""0"" seconds is printed, but as a count-down it would make more sense to display ""1"" second, until the time actually reaches 0ms. Example: Basically I need to the seconds to be display rounded up from milliseconds and not rounded down. Is there a way to achieve this with Joda without needing to write my own formatter? and then:",1,PeriodType,PeriodType,0
9,"void printDuration(Duration d) {
System.out.println(
d.toPeriod(PeriodType.time()).toString(
new PeriodFormatterBuilder().printZeroAlways().appendSeconds().toFormatter()
)
);
}
printDuration(new Duration(5000)); // Prints ""5"" => OK
printDuration(new Duration(4900)); // Prints ""4"" => need ""5""
printDuration(new Duration(1000)); // Prints ""1"" => OK
printDuration(new Duration(900)); // Prints ""0"" => need ""1""
printDuration(new Duration(0)); // Prints ""0"" => OK
import java.math.BigDecimal;
private Duration round(Duration d) {
return Duration.standardSeconds(new BigDecimal(d.getMillis()).divide(1000, 0, BigDecimal.ROUND_up));
}
void printDuration(Duration d) {
System.out.println(
round(d).toPeriod(PeriodType.time()).toString(
new PeriodFormatterBuilder().printZeroAlways().appendSeconds().toFormatter()
)
);
}","Rounding up milliseconds when printing with Joda Time I'm implementing a count-down using Joda Time. I only need a display accuracy of seconds. However when printing the time, the seconds are displayed as full seconds, so when the count down reaches, for example, 900ms, then ""0"" seconds is printed, but as a count-down it would make more sense to display ""1"" second, until the time actually reaches 0ms. Example: Basically I need to the seconds to be display rounded up from milliseconds and not rounded down. Is there a way to achieve this with Joda without needing to write my own formatter? and then:",1,toFormatter,DateTimeFormatterBuilder.toFormatter,0
10,"int age=calculateDifference(agingDate, today);
calculateDifference
agingDate
today
Date
public static int calculateDifference(Date a, Date b)
{
int tempDifference = 0;
int difference = 0;
Calendar earlier = Calendar.getInstance();
Calendar later = Calendar.getInstance();
if (a.compareTo(b) < 0)
{
earlier.setTime(a);
later.setTime(b);
}
else
{
earlier.setTime(b);
later.setTime(a);
}
while (earlier.get(Calendar.YEAR) != later.get(Calendar.YEAR))
{
tempDifference = 365 * (later.get(Calendar.YEAR) - earlier.get(Calendar.YEAR));
difference += tempDifference;
earlier.add(Calendar.DAY_OF_YEAR, tempDifference);
}
if (earlier.get(Calendar.DAY_OF_YEAR) != later.get(Calendar.DAY_OF_YEAR))
{
tempDifference = later.get(Calendar.DAY_OF_YEAR) - earlier.get(Calendar.DAY_OF_YEAR);
difference += tempDifference;
earlier.add(Calendar.DAY_OF_YEAR, tempDifference);
}
return difference;
}
import java.util.Date;
import org.joda.time.DateTime;
import org.joda.time.Days;
Date past = new Date(110, 5, 20); // June 20th, 2010
Date today = new Date(110, 6, 24); // July 24th 
int days = Days.daysBetween(new DateTime(past), new DateTime(today)).getDays(); // => 34","Difference in days between two dates in Java? I need to find the number of days between two dates: one is from a report and one is the current date. My snippet: Here is a private method, and are objects, just for your clarification. I've followed two articles from a Java forum, Thread 1 / Thread 2. It works fine in a standalone program although when I include this into my logic to read from the report I get an unusual difference in values. Why is it happening and how can I fix it? EDIT : I'm getting a greater number of days compared to the actual amount of Days. Note : Unfortunately, none of the answers helped me solve the problem. I've accomplished this problem with the help of Joda-time library. I would suggest you use the excellent Joda Time library instead of the flawed java.util.Date and friends. You could simply write",1,DateTime,DateTime,1
